team_id,team_name,team_abbr,venue_id,venue_name
133,Athletics,ATH,2529,Sutter Health Park
134,Pittsburgh Pirates,PIT,31,PNC Park
135,San Diego Padres,SD,2680,Petco Park
136,Seattle Mariners,SEA,680,T-Mobile Park
137,San Francisco Giants,SF,2395,Oracle Park
138,St. Louis Cardinals,STL,2889,Busch Stadium
139,Tampa Bay Rays,TB,12,Tropicana Field
140,Texas Rangers,TEX,5325,Globe Life Field
141,Toronto Blue Jays,TOR,14,Rogers Centre
142,Minnesota Twins,MIN,3312,Target Field
143,Philadelphia Phillies,PHI,2681,Citizens Bank Park
144,Atlanta Braves,ATL,4705,Truist Park
145,Chicago White Sox,CWS,4,Rate Field
146,Miami Marlins,MIA,4169,loanDepot park
147,New York Yankees,NYY,3313,Yankee Stadium
158,Milwaukee Brewers,MIL,32,American Family Field
108,Los Angeles Angels,LAA,1,Angel Stadium
109,Arizona Diamondbacks,AZ,15,Chase Field
110,Baltimore Orioles,BAL,2,Oriole Park at Camden Yards
111,Boston Red Sox,BOS,3,Fenway Park
112,Chicago Cubs,CHC,17,Wrigley Field
113,Cincinnati Reds,CIN,2602,Great American Ball Park
114,Cleveland Guardians,CLE,5,Progressive Field
115,Colorado Rockies,COL,19,Coors Field
116,Detroit Tigers,DET,2394,Comerica Park
117,Houston Astros,HOU,2392,Daikin Park
118,Kansas City Royals,KC,7,Kauffman Stadium
119,Los Angeles Dodgers,LAD,22,UNIQLO Field at Dodger Stadium
120,Washington Nationals,WSH,3309,Nationals Park
121,New York Mets,NYM,3289,Citi Field
